variable,familia,tipo,%_faltante_train,PSI_train→test,descripción
age_num,Numérica original,numérica,0.0,0.018758765053447375,Punto medio del rango de edad
time_in_hospital,Numérica original,numérica,0.0,0.022352896410214478,Variable original del dataset
num_lab_procedures,Numérica original,numérica,0.0,0.053031189848514924,Variable original del dataset
num_procedures,Numérica original,numérica,0.0,0.007840437974405345,Variable original del dataset
num_medications,Numérica original,numérica,0.0,0.041100434332962746,Variable original del dataset
number_outpatient,Numérica original,numérica,0.0,0.0549562743448555,Variable original del dataset
number_emergency,Numérica original,numérica,0.0,0.0,Variable original del dataset
number_inpatient,Numérica original,numérica,0.0,0.0028634914061245816,Variable original del dataset
number_diagnoses_capped,Numérica derivada,numérica,0.0,0.33026496340575223,Nº de diagnósticos recortado a 9 (armoniza cambio de codificación)
service_utilization,Numérica derivada,numérica,0.0,0.04437972433808632,Visitas ambulatorias + emergencia + hospitalizaciones del año previo
n_meds_active,Numérica derivada,numérica,0.0,0.013131747261819874,Nº de antidiabéticos activos en el encuentro
n_meds_changed,Numérica derivada,numérica,0.0,0.04903360322667423,Nº de antidiabéticos con dosis aumentada o reducida
meds_per_day,Numérica derivada,numérica,0.0,0.09621283520502608,Medicamentos por día de hospitalización
labs_per_day,Numérica derivada,numérica,0.0,0.01967754637185275,Pruebas de laboratorio por día de hospitalización
n_comorbidity_groups,Numérica derivada,numérica,0.0,0.004085009465392015,Nº de grupos clínicos ICD-9 distintos entre los 3 diagnósticos
dm_primary,Numérica derivada,numérica,0.0,0.0,Diabetes como diagnóstico principal
dm_complicated,Numérica derivada,numérica,0.0,0.0,Diabetes con complicaciones (ICD-9 250.1x–250.9x)
a1c_tested,Numérica derivada,numérica,0.0,0.0,HbA1c medida
a1c_high,Numérica derivada,numérica,0.0,0.0,HbA1c > 7 %
glu_tested,Numérica derivada,numérica,0.0,0.0,Glucosa sérica medida
glu_high,Numérica derivada,numérica,0.0,0.0,Glucosa sérica > 200
enc_seq,Temporal por paciente (lag / ventana),numérica,0.0,0.07875902708405574,Nº de encuentros previos del paciente (lag)
is_returning,Temporal por paciente (lag / ventana),numérica,0.0,0.0,El paciente tiene al menos un encuentro previo
prev_readmit30,Temporal por paciente (lag / ventana),numérica,0.0,0.0,"El encuentro previo terminó en reingreso <30 (lag de la etiqueta, observable)"
hist_n_readmit30,Temporal por paciente (lag / ventana),numérica,0.0,0.007351016078269756,Suma acumulada de reingresos <30 previos del paciente
hist_rate_readmit30,Temporal por paciente (lag / ventana),numérica,0.0,0.0028707347460560466,Proporción histórica de reingresos <30 del paciente
prev_time_in_hospital,Temporal por paciente (lag / ventana),numérica,75.6467795317888,0.026993135117981296,Días de hospitalización del encuentro previo (lag 1)
prev_num_medications,Temporal por paciente (lag / ventana),numérica,75.6467795317888,0.043747203700587566,Nº de medicamentos del encuentro previo (lag 1)
prev_number_diagnoses_capped,Temporal por paciente (lag / ventana),numérica,75.6467795317888,0.2637254543027653,Nº de diagnósticos del encuentro previo (lag 1)
prev_n_meds_active,Temporal por paciente (lag / ventana),numérica,75.6467795317888,0.02007921369168819,Antidiabéticos activos en el encuentro previo (lag 1)
delta_num_medications,Temporal por paciente (lag / ventana),numérica,0.0,0.06941474320691617,Cambio en nº de medicamentos vs encuentro previo
delta_n_meds_active,Temporal por paciente (lag / ventana),numérica,0.0,0.011483106303231943,Cambio en antidiabéticos activos vs encuentro previo
roll3_time_in_hospital,Temporal por paciente (lag / ventana),numérica,75.6467795317888,0.04407367965988926,Media de días hospitalizado en los últimos 3 encuentros previos (ventana por paciente)
log_gap_prev_encounter,Temporal por paciente (lag / ventana),numérica,75.6467795317888,0.4764003407151959,log(distancia en pseudo-tiempo desde el encuentro previo)
prev_discharge_snf,Temporal por paciente (lag / ventana),numérica,0.0,0.0,El encuentro previo fue alta a SNF / cuidados largos
gender,Categórica,categórica,0.0,0.0005076647466492285,Variable original del dataset
admission_type_grp,Categórica,categórica,0.0,0.19590901767853092,Tipo de admisión agrupado
discharge_grp,Categórica,categórica,0.0,0.3830020106137994,Destino al alta agrupado
admission_source_grp,Categórica,categórica,0.0,0.2842832223796007,Fuente de admisión agrupada
specialty_grp,Categórica,categórica,0.0,0.6630810514259873,Especialidad (top-15 del train + Other)
diag_1_grp,Categórica,categórica,0.0,0.01004472997068898,Grupo ICD-9 del diagnóstico principal
diag_2_grp,Categórica,categórica,0.0,0.09855146117977111,Grupo ICD-9 del diagnóstico secundario
diag_3_grp,Categórica,categórica,0.0,0.043732790035230874,Grupo ICD-9 del diagnóstico adicional
max_glu_serum,Categórica,categórica,0.0,0.1363387750983191,Variable original del dataset
A1Cresult,Categórica,categórica,0.0,0.014326269212399193,Variable original del dataset
insulin,Categórica,categórica,0.0,0.09251191874664184,Variable original del dataset
metformin,Categórica,categórica,0.0,0.0076943919011141,Variable original del dataset
glipizide,Categórica,categórica,0.0,0.002756749452024128,Variable original del dataset
glyburide,Categórica,categórica,0.0,0.017223045552222118,Variable original del dataset
pioglitazone,Categórica,categórica,0.0,0.007550862203391756,Variable original del dataset
rosiglitazone,Categórica,categórica,0.0,0.04525080817570356,Variable original del dataset
glimepiride,Categórica,categórica,0.0,0.003868988577952655,Variable original del dataset
change,Categórica,categórica,0.0,0.034437314942345566,Variable original del dataset
diabetesMed,Categórica,categórica,0.0,0.012105736450699163,Variable original del dataset
ctx_readmit_rate,Contexto (ventana deslizante global) — opcional,numérica,4.330347086243047,3.3118759854016395,"Tasa de reingreso <30 en ventana de 3,000 encuentros, con embargo de 2,000"
