prueba,resultado,estado
Disponibilidad al alta,ninguna variable posterior al alta; columnas prohibidas ausentes,OK
Cribado univariado,AUC máx. = 0.605 (service_utilization),OK
Identificadores,AUC máx. = 0.522; excluidos de los predictores,OK
Separación perfecta en categorías,0 categorías,OK
Latencia de etiqueta,"embargo 1,000 → 2,000; reingresos de train que cruzan el corte 11 → 0",Corregido
Variables rezagadas sin futuro,prueba de truncamiento (Sección 8),OK
Filas idénticas entre conjuntos,val: 0 · test: 0,OK
Etiquetas permutadas,AUC val = 0.500,OK
Desempeño plausible,AUC val = 0.664 · test = 0.669,OK
Pacientes vistos vs nuevos,AUC test 0.650 vs 0.662,OK
Variables de contexto (proxy del tiempo),AUC val 0.664 → 0.656; brecha train−val 0.079 → 0.117,No usar
Dominancia de una variable,number_inpatient = 38% de la importancia,OK
Decisiones del analista,todas reproducibles solo con train,OK
