experimento,modelo,bloque,n,prevalencia,ROC_AUC,PR_AUC,lift_PR,Brier,BSS,pendiente_cal,intercepto_cal,ECE,AUC_ic_inf,AUC_ic_sup,PR_ic_inf,PR_ic_sup,S,entrenado_con
E1 estático,ElasticNet,3,9129,0.1192901741702267,0.6800128147143072,0.2347143493776867,1.9675916395490376,0.1003928175441665,0.0444242309696014,1.0883465516381403,-0.0956735969022726,0.0193868088938378,0.6629033597051082,0.6964597490555717,0.2142946559922666,0.258798641463075,,
E1 estático,ElasticNet,4,9067,0.1115032535568545,0.6541380219767267,0.2010925927773922,1.8034683864615384,0.0961579877768599,0.0293962052487589,1.0506217925433443,-0.1656337961387675,0.0181737852553198,0.6368056456430186,0.6705891768042553,0.1815353642366612,0.2215875743342336,,
E1 estático,ElasticNet,5,9044,0.1222910216718266,0.650305691897012,0.2168574566968555,1.7732900889388443,0.1037139546970642,0.0337442743651899,1.100045659394581,-0.0535073880241655,0.0125888112409518,0.632978935484162,0.6686599055807221,0.1978362157547497,0.2414064267393439,,
E1 estático,ElasticNet,6,8068,0.1155180961824491,0.6507808440308704,0.203872318071433,1.76485178347674,0.0993712584703577,0.027427881235413,1.0036003558900732,-0.1606838470528814,0.0195874193451625,0.63252946991412,0.6710081518810695,0.1858668792618622,0.2272711228061495,,
E1 estático,ElasticNet,7,9110,0.1104281009879253,0.6367050657555162,0.1832753499465059,1.659680355877405,0.0968796325546026,0.013784500188548,0.8769778796728748,-0.243590819770669,0.025822252953805,0.6183269349155401,0.6546825602514779,0.1664159467274292,0.2063059563969972,,
E1 estático,ElasticNet,8,8076,0.112555720653789,0.6544168718532242,0.2208653873827087,1.9622759829513263,0.0964030198008448,0.0348785430389424,1.0074601147043178,-0.237186573863177,0.0260259727194212,0.6372306812328082,0.6733529748272173,0.1993545250581967,0.2467357080506972,,
E1 estático,ElasticNet,9,9085,0.1100715465052284,0.6430775510204082,0.2192364134340076,1.9917628160479597,0.0944154529873539,0.0361423022023309,0.9539897971269622,-0.2323908464239123,0.0235368744992888,0.6238828309485339,0.6620223726222961,0.1966862305627152,0.2476412009426659,,
E1 estático,ElasticNet,10,9045,0.1077943615257048,0.654385028437073,0.2016471252477032,1.8706648696056167,0.0934615548186165,0.0282109669418832,1.005741057703454,-0.2295765192242592,0.0230787493475749,0.6380878089132922,0.673254875947559,0.1811245340467811,0.224323617476678,,
E2 expansiva,,3,9129,0.11929017417022675,0.6800128147143072,0.2347143493776867,1.9675916395490376,0.10039281754416653,0.044424230969601464,1.0883465516381405,-0.09567359690227265,0.019386808893837836,,,,,,
E2 expansiva,,4,9067,0.11150325355685453,0.6595396271598317,0.2040235999212721,1.8297546790169872,0.09567611452285021,0.034260159037145854,0.9870694100510282,-0.023692793164040372,0.011823417657631797,,,,,,
E2 expansiva,,5,9044,0.12229102167182662,0.6520052331427515,0.21491015530130242,1.7573665863878654,0.10376866650450693,0.03323454934934433,0.9724132779124347,0.0715577180782552,0.012572265201486937,,,,,,
E2 expansiva,,6,8068,0.11551809618244918,0.6542231615312073,0.2057524547859892,1.7811274734048936,0.09920337710040887,0.029070979473129643,0.925574147365011,-0.16181611385822087,0.021699290011353567,,,,,,
E2 expansiva,,7,9110,0.11042810098792535,0.6440850209699355,0.18626302026594738,1.686735700420259,0.09598461481256185,0.022895603797548625,0.8665012244829068,-0.11148635676749598,0.01630036898380048,,,,,,
E2 expansiva,,8,8076,0.11255572065378901,0.6624358403469759,0.2202044795956436,1.9564041553513947,0.09553824477195323,0.043536082372789275,1.0893124559033136,-0.02898536473899632,0.0080553432310044,,,,,,
E2 expansiva,,9,9085,0.1100715465052284,0.6610065553494126,0.22182655414475783,2.015294244405125,0.09352348728931764,0.04524809979183042,1.0324783969233777,0.010841829661282582,0.007594894653557256,,,,,,
E2 expansiva,,10,9045,0.1077943615257048,0.6661435516156704,0.1981261995888517,1.8380015131088858,0.0928599073858301,0.03446674107365466,1.0366706525357725,0.01742746894731815,0.013702879031680035,,,,,,
E3 deslizante S=1,,3,9129,0.11929017417022675,0.655103956800022,0.22391853861440175,1.8770912203956598,0.1010607205216806,0.03806688472722797,1.0179541089470856,-0.07630895804087279,0.012700092240952048,,,,,1.0,
E3 deslizante S=1,,4,9067,0.11150325355685453,0.6537430371180176,0.2001930938242425,1.7954013666710253,0.09633335009285067,0.02762612526588748,0.9599892493837872,-0.14938373248138603,0.020557502766299925,,,,,1.0,
E3 deslizante S=1,,5,9044,0.12229102167182662,0.643500464950564,0.2136533711600932,1.7470895920179774,0.10405021947483568,0.0306114484325557,1.2149213961093281,0.021160316499963007,0.018808046103768353,,,,,1.0,
E3 deslizante S=1,,6,8068,0.11551809618244918,0.6438625286283416,0.20127512932479635,1.7423688233824646,0.09957708362516692,0.02541341739557479,0.9021021035415419,-0.09531460593781572,0.01911993806707452,,,,,1.0,
E3 deslizante S=1,,7,9110,0.11042810098792535,0.620963692180579,0.18081774091591601,1.6374250693280268,0.09641004260121447,0.018564833044642848,0.810483916276933,-0.0752798644438845,0.011673436944212327,,,,,1.0,
E3 deslizante S=1,,8,8076,0.11255572065378901,0.6518699797983147,0.2271205696772643,2.0178500777927244,0.09563328765627666,0.042584577667008294,1.294354822024588,-0.041074583325487454,0.018391711247747432,,,,,1.0,
E3 deslizante S=1,,9,9085,0.1100715465052284,0.6292667285095855,0.20502077240087158,1.8626137172619184,0.09430436342667815,0.03727638062714822,0.9737878589944479,-0.1375358482968503,0.01435551313487652,,,,,1.0,
E3 deslizante S=1,,10,9045,0.1077943615257048,0.7084872112604454,0.22353335339373057,2.0737017245603004,0.09198947359532637,0.04351728611601291,1.1018676447219617,-0.004183630983553712,0.036395783679997525,,,,,1.0,
E3 deslizante S=2,,3,9129,0.11929017417022675,0.6800128147143072,0.2347143493776867,1.9675916395490376,0.10039281754416653,0.044424230969601464,1.0883465516381405,-0.09567359690227265,0.019386808893837836,,,,,2.0,
E3 deslizante S=2,,4,9067,0.11150325355685453,0.65893456487083,0.20388576339863834,1.8285185130914479,0.09568792363090052,0.03414095973450604,1.0537430035113824,-0.052776495371153975,0.011550267014738875,,,,,2.0,
E3 deslizante S=2,,5,9044,0.12229102167182662,0.64965570649933,0.21307834362714803,1.7423874681409828,0.10376368971502802,0.03328091583245962,1.016307430024784,0.048703619117140606,0.01297515804508201,,,,,2.0,
E3 deslizante S=2,,6,8068,0.11551809618244918,0.654946688735349,0.20611863948947262,1.7842974070826878,0.09916032118187962,0.02949237884508027,0.8968454267337738,-0.09142725429823104,0.014373593213170893,,,,,2.0,
E3 deslizante S=2,,7,9110,0.11042810098792535,0.6372990462947881,0.18527294183381307,1.6777698808211106,0.09637749827001593,0.018896127900049242,0.7964628765830626,-0.10385758641522104,0.01735818560430719,,,,,2.0,
E3 deslizante S=2,,8,8076,0.11255572065378901,0.6684044014838207,0.22835452478462906,2.0288131376905,0.09541185194024622,0.04480144142625575,1.146148940599145,0.016315800572375184,0.016120119008092272,,,,,2.0,
E3 deslizante S=2,,9,9085,0.1100715465052284,0.650921459492888,0.2214330482080271,2.011719242969926,0.09369901544391651,0.043456188005811636,0.9513786701784827,-0.025324977471509098,0.010855736873558895,,,,,2.0,
E3 deslizante S=2,,10,9045,0.1077943615257048,0.7173909064912783,0.22384154897591058,2.076560831268832,0.09190519991155356,0.044393542046323176,1.2655905764693391,0.018502459339549,0.039457949066883255,,,,,2.0,
E3 deslizante S=3,,4,9067,0.11150325355685453,0.6595396271598317,0.2040235999212721,1.8297546790169872,0.09567611452285021,0.034260159037145854,0.9870694100510282,-0.023692793164040372,0.011823417657631797,,,,,3.0,
E3 deslizante S=3,,5,9044,0.12229102167182662,0.6502842782012677,0.21275750500395268,1.7397639016778916,0.1038349803915558,0.03261673303680257,0.9603284086063074,0.05346817472943902,0.009294880609989462,,,,,3.0,
E3 deslizante S=3,,6,8068,0.11551809618244918,0.651890944061664,0.20402880714747576,1.7662064550062602,0.09904603419007206,0.03061093509042223,0.942032825217791,-0.0902823629283442,0.017188015489934847,,,,,3.0,
E3 deslizante S=3,,7,9110,0.11042810098792535,0.6398684644354995,0.18537421396340853,1.6786869674022382,0.09601348959241798,0.022601664249091713,0.896368007632874,-0.11352520925880843,0.016707259134015797,,,,,3.0,
E3 deslizante S=3,,8,8076,0.11255572065378901,0.6678378455956381,0.22692398413673132,2.0161035158286493,0.09536241485906412,0.04529637185392221,1.1806368858155059,0.0011004780306359222,0.013552493843089625,,,,,3.0,
E3 deslizante S=3,,9,9085,0.1100715465052284,0.6593384044526902,0.22524115062931105,2.046315853467291,0.0935061556676795,0.04542503287219679,0.9228538286283776,-0.006356334398702134,0.010059683631267321,,,,,3.0,
E3 deslizante S=3,,10,9045,0.1077943615257048,0.6990563975471039,0.2151590167550451,1.9960136477429569,0.09211217974266711,0.042241419386575774,1.176783250508252,0.0055176401627901476,0.026642435895547045,,,,,3.0,
E3 deslizante S=5,,6,8068,0.11551809618244918,0.6542231615312073,0.2057524547859892,1.7811274734048936,0.09920337710040887,0.029070979473129643,0.925574147365011,-0.16181611385822087,0.021699290011353567,,,,,5.0,
E3 deslizante S=5,,7,9110,0.11042810098792535,0.6419398220744634,0.18427674046815196,1.6687486139809784,0.09599662492053401,0.022773343273595037,0.8681021184324192,-0.09209404454805116,0.016433808308960057,,,,,5.0,
E3 deslizante S=5,,8,8076,0.11255572065378901,0.6643074241845839,0.223659536641529,1.9871005697656634,0.09544577766733413,0.04446180012432155,1.1586383566533762,0.001881925563323299,0.011041666826071684,,,,,5.0,
E3 deslizante S=5,,9,9085,0.1100715465052284,0.6620544217687074,0.22625863374440003,2.0555596875678743,0.09334149798673201,0.0471059714077986,0.9991335057747859,-0.01961457136976719,0.007752473826380458,,,,,5.0,
E3 deslizante S=5,,10,9045,0.1077943615257048,0.6913420392082102,0.21181032370843958,1.9649480799413703,0.09221740307414424,0.04114733444705432,1.1273901005206786,-0.016232537046001524,0.02309626807462611,,,,,5.0,
E4 disparador,,3,9129,0.11929017417022675,0.6800128147143072,0.2347143493776867,1.9675916395490376,0.10039281754416653,0.044424230969601464,1.0883465516381405,-0.09567359690227265,0.019386808893837836,0.6629033597051082,0.6964597490555717,0.21429465599226663,0.258798641463075,3.0,"[1, 2]"
E4 disparador,,4,9067,0.11150325355685453,0.6541380219767267,0.20109259277739225,1.8034683864615386,0.0961579877768599,0.029396205248758966,1.0506217925433445,-0.16563379613876753,0.018173785255319867,0.6368056456430186,0.6705891768042553,0.18153536423666128,0.22158757433423368,3.0,"[1, 2]"
E4 disparador,,5,9044,0.12229102167182662,0.650305691897012,0.21685745669685558,1.7732900889388443,0.10371395469706421,0.0337442743651899,1.100045659394581,-0.05350738802416551,0.012588811240951828,0.632978935484162,0.6686599055807221,0.19783621575474974,0.24140642673934393,3.0,"[1, 2]"
E4 disparador,,6,8068,0.11551809618244918,0.6507808440308704,0.20387231807143302,1.7648517834767399,0.09937125847035778,0.027427881235413065,1.0036003558900732,-0.16068384705288144,0.01958741934516259,0.63252946991412,0.6710081518810695,0.18586687926186227,0.22727112280614953,3.0,"[1, 2]"
E4 disparador,,7,9110,0.11042810098792535,0.6367050657555162,0.18327534994650596,1.659680355877405,0.09687963255460265,0.013784500188548043,0.8769778796728748,-0.24359081977066904,0.025822252953805042,0.6183269349155401,0.6546825602514779,0.1664159467274292,0.20630595639699728,3.0,"[1, 2]"
E4 disparador,,8,8076,0.11255572065378901,0.6678378455956381,0.22692398413673132,2.0161035158286493,0.09536241485906412,0.04529637185392221,1.1806368858155059,0.0011004780306359222,0.013552493843089625,0.6505230397496077,0.685583905231756,0.2044811445914981,0.25182519154459015,3.0,"[5, 6, 7]"
E4 disparador,,9,9085,0.1100715465052284,0.6603353123067409,0.22536593778657937,2.047449544791074,0.093437436151696,0.046126568821809766,1.1138155541952202,-0.012503137664098777,0.012117267125624616,0.6424898331613107,0.6789290395591839,0.2024217970146145,0.2532604972571232,3.0,"[5, 6, 7]"
E4 disparador,,10,9045,0.1077943615257048,0.6853570997362819,0.20982589850400088,1.9465387199678852,0.09238343708936518,0.03942095577274851,1.236374430049234,-0.017781606784263757,0.02114159858655333,0.6693252391245982,0.7023190699857684,0.18921418325327505,0.23289313816770657,3.0,"[5, 6, 7]"
